name	read_id	strand	align_score	neg_log_likelihood	subset_likelihood	repeat_likelihood	repeat_start	repeat_end	align_start	align_end	counts	freq	cluster_assignments	outlier	peak_calling_method
CGG_mouse3	f8326f37-dc34-4b3a-a501-f4ccb7be27bd	reverse	120	-1318.395	-76.27599999999995	-36.91899999999998	3600	3664	3449	3813	21.0	124	3.0	False	kde_throw_outliers
CGG_mouse3	1f3fbda1-7670-4291-95af-c294376b6c78	forward	120	-1307.467	-63.26800000000003	-34.64999999999998	2788	2848	2641	2999	20.0	20		True	kde_throw_outliers
CGG_mouse3	61743806-910c-470e-825b-5130d1aa9b8c	reverse	120	-1310.544	-70.50400000000002	-29.79099999999994	3568	3630	3417	3779	21.0	124	3.0	False	kde_throw_outliers
CGG_mouse3	d9766014-6764-4275-9be8-af57b1eef803	reverse	120	-1303.422	-60.771999999999935	-31.358999999999924	3582	3645	3436	3795	21.0	124	3.0	False	kde_throw_outliers
CGG_mouse3	3b89b544-566e-417d-99e0-f4ec0bbafbae	forward	120	-1332.367	-77.77099999999996	-38.89499999999998	2816	2878	2667	3028	21.0	124	3.0	False	kde_throw_outliers
CGG_mouse3	d4036590-d42a-49b7-8c3d-92717c0a42c3	reverse	120	-1310.719	-70.67899999999997	-25.38799999999992	3575	3637	3430	3790	21.0	124	3.0	False	kde_throw_outliers
CGG_mouse3	1d1a5a7a-bc60-4986-b2f4-ff426bd99f32	reverse	120	-1348.005	-105.885	-45.72399999999993	3604	3668	3457	3811	21.0	124	3.0	False	kde_throw_outliers
CGG_mouse3	9ff3bdaa-9b37-4f0e-b9cf-347431865eca	reverse	120	-1315.441	-70.71100000000001	-25.298	3565	3627	3419	3776	21.0	124	3.0	False	kde_throw_outliers
CGG_mouse3	f9131dbf-b72a-442c-8ed3-8e46117f0701	reverse	120	-1296.996	-48.638000000000034	-25.38900000000001	3568	3630	3419	3779	21.0	124	3.0	False	kde_throw_outliers
CGG_mouse3	04a1b0c9-abb7-4dd7-bf01-06a440d7c1a3	reverse	120	-1306.045	-61.31499999999994	-29.791000000000054	3561	3623	3411	3771	21.0	124	3.0	False	kde_throw_outliers
CGG_mouse3	d4d099c9-fefc-498a-a2d9-e4f90e5b05b0	forward	120	-1281.617	-37.41700000000003	-19.44799999999998	2812	2871	2663	3021	20.0	20		True	kde_throw_outliers
CGG_mouse3	eee98450-cad4-462d-af43-5a2b84f9756f	reverse	120	-1304.355	-59.625	-31.628000000000043	3564	3629	3415	3778	22.0	19		True	kde_throw_outliers
CGG_mouse3	f3d5f007-5412-44a9-91b0-debe593de16a	reverse	120	-1326.686	-80.40800000000002	-25.38800000000004	3614	3676	3463	3825	21.0	124	3.0	False	kde_throw_outliers
